customer_id,dpd,loan_amount,communication_score,utility_payment_score,sms_response_rate,credit_bureau_score,last_payment_days_ago,channel_preference,preferred_hour,business_vintage_years,annual_turnover,emi_amount,last_repayment_date,overdue_amount,repaid_in_7_days,repaid_in_14_days,repaid_in_30_days,default_risk
1,30,446419,0.26214308934797725,0.42592642647637236,0.15002103185421978,573,40,Email,17,3,338751,37408,2025-03-02 09:04:57.578245,31939,1,1,0,0
2,5,315817,0.7368922000130856,0.9091397970820083,0.7063000176064081,367,10,SMS,19,7,9459548,10211,2025-03-22 09:04:57.578245,179778,0,0,1,1
3,60,141439,0.4444358146296268,0.9192860544849872,0.20974308867841318,450,41,WhatsApp,16,18,9195337,36801,2025-03-14 09:04:57.578245,130429,0,0,0,0
4,10,297669,0.663200817106832,0.5268300993212521,0.5154946932249179,378,17,SMS,8,21,1701390,48456,2025-04-10 09:04:57.578245,6778,1,0,1,0
5,30,60585,0.9287611525147766,0.10122205892651004,0.9835987345300929,416,10,WhatsApp,19,21,185308,49123,2025-02-24 09:04:57.578245,112653,0,0,1,0
6,2,26014,0.0013545415043190179,0.34982488211999474,0.08468868346194347,466,18,WhatsApp,15,16,4105715,39662,2025-02-25 09:04:57.578245,165539,1,0,0,0
7,30,94618,0.9512497734111847,0.9033989702054941,0.04052294575015358,471,30,WhatsApp,19,15,9354035,10403,2025-03-25 09:04:57.578245,168084,0,1,0,0
8,60,490811,0.27913975268139624,0.5320961746888302,0.5398365831268226,628,45,Email,8,8,3779423,24563,2025-03-08 09:04:57.578245,57336,1,1,1,1
9,10,478915,0.28750784348263525,0.12693616266551178,0.9755800884954652,628,14,SMS,13,3,5698192,2353,2025-04-16 09:04:57.578245,27449,0,1,1,0
10,5,403718,0.6294090704062633,0.06867854161249853,0.810454606767969,702,74,SMS,14,21,6764155,20415,2025-03-09 09:04:57.578245,177136,0,1,1,1
11,60,378855,0.3608546958881491,0.9399600846772784,0.24161666355497635,695,86,SMS,8,10,6973683,18919,2025-02-13 09:04:57.578245,153672,0,0,1,0
12,60,31874,0.08045803906860471,0.7442831561975968,0.8851467070358336,398,0,Email,19,2,300208,3795,2025-04-27 09:04:57.578245,110006,0,0,0,0
13,2,412792,0.7114475720212757,0.5919529850509336,0.5791340464909942,620,25,Email,12,14,181262,7997,2025-02-23 09:04:57.578245,32091,1,0,1,0
14,15,57123,0.18318822689050107,0.0491764526442241,0.9399366097723573,354,79,Call,8,11,691814,7984,2025-04-12 09:04:57.578245,177545,0,0,0,1
15,10,295649,0.9293718709938338,0.6665887262678752,0.7913422564421722,683,67,Call,17,2,2256975,45288,2025-02-17 09:04:57.578245,78063,1,0,0,0
16,1,369848,0.9878636981639579,0.9352829392490096,0.19903458895110682,784,61,Email,9,5,3716986,37979,2025-04-20 09:04:57.578245,154019,0,0,0,0
17,60,445876,0.18122360940082627,0.3858477422525235,0.4695042207737451,755,50,Call,17,23,9865190,11079,2025-03-10 09:04:57.578245,70296,1,1,1,0
18,15,84435,0.7536861785943232,0.7721372259235485,0.7176498048018737,770,81,Email,17,20,7046235,27887,2025-03-17 09:04:57.578245,57788,1,1,1,0
19,1,154098,0.9918234955667761,0.7517500362062346,0.6642744707373046,618,74,WhatsApp,15,10,6739944,17220,2025-04-29 09:04:57.578245,181590,0,1,0,0
20,10,415617,0.9553074658708359,0.7879957990887009,0.4319021774177362,630,74,Email,10,13,3035737,48790,2025-04-01 09:04:57.578245,190446,0,1,1,0
21,0,378726,0.5649148240396016,0.39949335727900714,0.8829709162670389,495,60,SMS,16,9,2358726,22122,2025-03-12 09:04:57.578245,51110,0,0,1,0
22,15,68035,0.3120273685678727,0.644782444524913,0.14736453222479629,897,55,WhatsApp,9,13,2351479,28294,2025-03-16 09:04:57.578245,131782,0,1,1,1
23,90,58194,0.01166367986285266,0.08432371467161703,0.6515661333140075,399,49,Email,19,9,8037533,10410,2025-04-10 09:04:57.578245,145105,0,0,0,0
24,0,129343,0.8982356448325574,0.23425084283190867,0.5126365311428261,771,27,Email,19,17,7239892,16124,2025-04-20 09:04:57.578245,44686,0,0,1,0
25,2,383343,0.035594748854527625,0.32130061693711853,0.21058541175773426,439,8,WhatsApp,18,16,1565948,6766,2025-03-06 09:04:57.578245,56278,0,1,1,0
26,30,338297,0.576422138380379,0.7947072081714769,0.15028123373551827,633,30,WhatsApp,10,6,7402588,10778,2025-04-11 09:04:57.578245,70772,0,1,0,0
27,5,82201,0.1861494396228941,0.6712467782141617,0.7048457539411054,515,84,Call,11,11,4113913,4041,2025-02-24 09:04:57.578245,106724,1,0,0,0
28,90,37412,0.24198314009643962,0.4249492755809332,0.0855476382059196,314,49,WhatsApp,10,4,8778497,8898,2025-04-17 09:04:57.578245,101918,0,1,1,1
29,2,118646,0.02335162321771478,0.40055137610868063,0.24890292648070744,637,77,Email,17,6,8878630,16014,2025-05-04 09:04:57.578245,42969,0,0,0,0
30,10,9471,0.036906304893151054,0.44830246032948085,0.1460720556467232,599,8,Call,16,13,860487,49974,2025-04-03 09:04:57.578245,143660,0,0,0,0
31,2,445230,0.35020570075231516,0.5406087317044422,0.056331758174863134,743,77,WhatsApp,15,11,5962793,10496,2025-04-01 09:04:57.578245,122669,0,0,1,1
32,30,262590,0.8775600137691921,0.5497725336811138,0.6978513180822619,873,19,Call,19,19,3556760,37040,2025-04-17 09:04:57.578245,189123,0,1,0,0
33,10,121409,0.5658333124646825,0.49164413299881804,0.20425319583522938,450,56,WhatsApp,13,24,1405964,36683,2025-03-13 09:04:57.578245,54694,0,1,1,1
34,90,448054,0.5383064903387927,0.5948169686763529,0.22803500974038138,730,52,WhatsApp,11,6,637122,25728,2025-03-30 09:04:57.578245,178336,0,0,1,0
35,30,119206,0.6203022419783288,0.2305037274966948,0.26474291465497435,588,83,SMS,14,6,8611200,2203,2025-02-23 09:04:57.578245,93677,0,0,0,0
36,1,419066,0.5353336780497289,0.5782329474717364,0.11421325890433509,323,53,WhatsApp,11,1,1118006,12744,2025-04-23 09:04:57.578245,67497,0,0,0,1
37,5,156706,0.30424455369611303,0.9793745516996736,0.390766436167999,422,28,WhatsApp,11,8,8134530,17085,2025-04-02 09:04:57.578245,3812,0,0,1,0
38,90,19877,0.8799703485894151,0.3712956495043901,0.3001296814033463,726,22,Call,18,12,495614,8057,2025-02-26 09:04:57.578245,112409,0,0,1,0
39,1,83505,0.47560331571247827,0.07281555494783243,0.07469644247518559,696,35,SMS,12,17,5233427,43430,2025-04-09 09:04:57.578245,36252,0,1,1,0
40,90,85970,0.7526517371990183,0.8687920023095038,0.8703557828305575,818,64,WhatsApp,13,2,9094612,17970,2025-04-12 09:04:57.578245,110320,0,0,0,0
41,10,106581,0.9120457491909109,0.6998963341670216,0.9550462989190858,501,24,Call,12,1,3281827,41140,2025-05-05 09:04:57.578245,167353,0,0,0,1
42,1,469707,0.0037273097711031378,0.9036357209792363,0.30992394948675794,611,48,WhatsApp,10,11,6862054,49692,2025-02-12 09:04:57.578245,152732,0,1,1,1
43,5,279275,0.47813759372987574,0.8594637128243182,0.8247985210844538,350,49,Call,12,3,4053651,28677,2025-02-21 09:04:57.578245,73949,0,1,1,0
44,30,147208,0.6046157006149505,0.8229849575006699,0.6806645956958456,644,18,WhatsApp,16,19,8311505,18905,2025-03-06 09:04:57.578245,11853,0,0,1,0
45,60,352563,0.5023930104410894,0.010219779876994184,0.5007998243238995,890,21,WhatsApp,13,8,9574552,27027,2025-04-06 09:04:57.578245,4780,0,1,1,0
46,2,278254,0.9024157342553503,0.829726296881833,0.17627178560139,549,34,Call,15,13,178951,23554,2025-04-27 09:04:57.578245,180533,1,1,0,0
47,0,137516,0.9400481084041464,0.2235229564923863,0.17079320042187096,816,50,Email,16,17,9859689,20863,2025-05-02 09:04:57.578245,67703,1,1,1,0
48,5,347688,0.1342895409901298,0.08810886165645815,0.6546241505490344,637,8,Call,9,3,5202581,10081,2025-05-04 09:04:57.578245,76963,1,0,1,1
49,1,249884,0.3024617912769242,0.23467964859500223,0.6597048861587645,696,60,SMS,18,6,9147706,25394,2025-02-15 09:04:57.578245,124978,1,0,0,0
